Player_Name,Team,Age,Position,GP,MP,PTS,REB,AST,FG%,3P%,PER,WS,USG%,VORP,Salary_2024,Contract_Years_Left,Cap_Hit_Share,Age_Norm,GP_Norm,MP_Norm,PTS_Norm,REB_Norm,AST_Norm,FG%_Norm,3P%_Norm,PER_Norm,WS_Norm,USG%_Norm,VORP_Norm,Salary_2024_Norm,Contract_Years_Left_Norm,PER_per_Million,All_Star_Votes,Is_Rookie,Rising_Stars_Consecutive,Popularity_Score
Shai Gilgeous-Alexander,OKC,26,PG,76,34.2,32.7,5,6.4,0.519,0.375,30.7,16.7,34.8,8.9,38333050,7,0.2718656028368794,0.3333333333333333,0.925925925925926,0.904632152588556,1,0.3597122302158273,0.5517241379310345,0.519,0.375,0.6513056835637481,1,0.824644549763033,0.9210526315789472,0.561362621834791,1,0.8008754847318437,878621,0,0,0.7031679415582649
Giannis Antetokounmpo,MIL,30,PF,67,34.2,30.4,11.9,6.5,0.601,0.222,30.5,11.5,35.2,6.6,54126450,4,0.3838755319148936,0.5238095238095238,0.8148148148148148,0.904632152588556,0.929663608562691,0.8561151079136691,0.560344827586207,0.601,0.222,0.6482334869431645,0.7094972067039106,0.8341232227488152,0.719298245614035,0.7930742612520786,0.5,0.5634952966617984,1192296,0,0,0.9542047413482639
Nikola Jokic,DEN,29,C,70,36.7,29.6,12.7,10.2,0.576,0.417,32,16.4,29.5,9.8,55224526,4,0.391663304964539,0.4761904761904761,0.8518518518518519,0.9727520435967304,0.9051987767584098,0.9136690647482012,0.8793103448275862,0.576,0.417,0.6712749615975423,0.9832402234636872,0.6990521327014217,1,0.8091845978588116,0.5,0.5794526873802411,1128962,0,0,0.9035179965394656
Luka Doncic,2TM,25,PG,50,35.4,28.2,8.2,7.7,0.45,0.368,24.1,5.9,33.9,3.9,45999660,5,0.3262387234042553,0.2857142857142857,0.6049382716049383,0.9373297002724794,0.8623853211009174,0.5899280575539567,0.6637931034482759,0.45,0.368,0.5499231950844854,0.3966480446927375,0.8033175355450236,0.4824561403508772,0.6738426940087986,0.6666666666666666,0.5239169159076393,1249518,0,0,1
Anthony Edwards,MIN,23,SG,79,36.3,27.6,5.7,4.5,0.447,0.395,20.1,8.4,31.4,4.6,45550512,5,0.3230532765957447,0.1904761904761904,0.9629629629629628,0.9618528610354222,0.8440366972477064,0.4100719424460431,0.3879310344827586,0.447,0.395,0.4884792626728111,0.5363128491620112,0.7440758293838862,0.5438596491228069,0.6672530540692672,0.6666666666666666,0.441268365984558,650085,0,0,0.520268615578167
Jayson Tatum,BOS,26,PF,72,36.4,26.8,8.7,6,0.452,0.343,21.7,9.5,31.2,4.8,54126450,6,0.3838755319148936,0.3333333333333333,0.8765432098765432,0.9645776566757492,0.819571865443425,0.6258992805755395,0.5172413793103449,0.452,0.343,0.5130568356374808,0.5977653631284916,0.7393364928909952,0.5614035087719298,0.7930742612520786,0.8333333333333334,0.4009130471331484,0,0,0,0
Kevin Durant,PHO,36,PF,62,36.5,26.6,6,4.2,0.527,0.43,21.2,5.2,28.7,3,54708609,4,0.3880043191489362,0.8095238095238095,0.7530864197530864,0.9673024523160764,0.8134556574923547,0.4316546762589928,0.3620689655172414,0.527,0.43,0.5053763440860215,0.3575418994413408,0.6800947867298578,0.4035087719298245,0.8016153617302231,0.5,0.3875075675932465,548754,0,0,0.4391725449333263
Tyrese Maxey,PHI,24,PG,52,37.7,26.3,3.3,6.1,0.437,0.337,19.5,3.8,29.8,2,37958760,5,0.2692110638297872,0.238095238095238,0.6296296296296297,1,0.8042813455657492,0.237410071942446,0.5258620689655172,0.437,0.337,0.4792626728110599,0.2793296089385475,0.7061611374407583,0.3157894736842105,0.5558712552185149,0.6666666666666666,0.5137154111462019,1072449,0,0,0.8582901566844175
Cade Cunningham,DET,23,PG,70,35,26.1,6.1,9.1,0.469,0.356,20.6,5.9,33.2,3.7,46394100,6,0.3290361702127659,0.1904761904761904,0.8518518518518519,0.9264305177111716,0.7981651376146789,0.4388489208633093,0.7844827586206896,0.469,0.356,0.4961597542242703,0.3966480446927375,0.7867298578199052,0.4649122807017544,0.6796296897824606,0.8333333333333334,0.4440219769324117,1000171,0,0,0.8004454517662011
Jalen Brunson,NYK,28,PG,65,35.4,26,2.9,7.3,0.488,0.383,21.6,8.3,29.5,3.1,34944001,5,0.2478297943262411,0.4285714285714285,0.7901234567901234,0.9373297002724794,0.7951070336391437,0.2086330935251798,0.6293103448275862,0.488,0.383,0.511520737327189,0.5307262569832403,0.6990521327014217,0.4122807017543859,0.5116404530899028,0.6666666666666666,0.6181318504426554,1040601,0,0,0.8328019284236001
Paolo Banchero,ORL,22,PF,46,34.4,25.9,7.5,4.8,0.452,0.32,20,3.5,33.6,2.2,15334769,7,0.1087572269503546,0.1428571428571428,0.5555555555555556,0.9100817438692096,0.7920489296636084,0.539568345323741,0.4137931034482758,0.452,0.32,0.4869431643625192,0.2625698324022347,0.7962085308056872,0.3333333333333333,0.2239451313457605,1,1.3042257108665936,99565,0,1,0.07968272565901412
Devin Booker,PHO,28,SG,75,37.3,25.6,4.1,7.1,0.461,0.332,19.3,6.4,29.3,1.7,53142264,6,0.3768954893617021,0.4285714285714285,0.9135802469135802,0.989100817438692,0.7828746177370031,0.2949640287769783,0.6120689655172413,0.461,0.332,0.4761904761904762,0.4245810055865922,0.6943127962085308,0.2894736842105262,0.7786348529200194,0.8333333333333334,0.3631760965246042,121120,0,0,0.096933377510368
LaMelo Ball,CHO,23,PG,47,32,25.2,4.9,7.4,0.405,0.339,19.1,2,35.9,2,37958760,5,0.2692110638297872,0.1904761904761904,0.5679012345679012,0.8446866485013623,0.7706422018348623,0.3525179856115108,0.6379310344827587,0.405,0.339,0.4731182795698925,0.1787709497206704,0.8507109004739336,0.3157894736842105,0.5558712552185149,0.6666666666666666,0.5031776591226901,135236,0,0,0.10823053369379233
Damian Lillard,MIL,34,PG,58,36.1,24.9,4.7,7.1,0.448,0.376,21.3,7.6,27.8,3.2,68230450,4,0.4839039007092198,0.7142857142857143,0.7037037037037037,0.9564032697547684,0.7614678899082568,0.3381294964028777,0.6120689655172413,0.448,0.376,0.5069124423963134,0.4916201117318435,0.6587677725118483,0.4210526315789474,1,0.5,0.3121773343133454,0,0,0,0
